col_id,col_name,col_group,col_group_id,group_col_id,col_area,project_id,refs,max_thick,max_min_thick,min_min_thick,b_age,t_age,b_int_name,t_int_name,pbdb_collections,lith,environ,econ,t_units,t_sections
1441,Central and Southeast Vancouver Island,Sheet 1: Canadian Cordillera,36,7,18887.1,1,10,300,300,300,358.9,290.1,Tournaisian,Sakmarian,1,limestone carbonate sedimentary  ~ 0.4167|chert chemical sedimentary  ~ 0.3106|volcaniclastic siliciclastic sedimentary  ~ 0.2273|tuff volcanic igneous  ~ 0.0454,inferred marine  marine  ~ 1,,2,2
499,Eagle Basin,CSR,3,19,23233.3,1,1,4934,2001,1018,366.8,269.51,Cassadagan,Guadalupian,15,sand siliciclastic sedimentary  ~ 0.0179|mudstone siliciclastic sedimentary  ~ 0.0096|shale siliciclastic sedimentary  ~ 0.1614|siltstone siliciclastic sedimentary  ~ 0.0192|sandstone siliciclastic sedimentary  ~ 0.187|arkose siliciclastic sedimentary  ~ 0.0848|conglomerate siliciclastic sedimentary  ~ 0.0848|breccia siliciclastic sedimentary  ~ 0.0781|limestone carbonate sedimentary  ~ 0.1598|dolomite carbonate sedimentary  ~ 0.023|gypsum evaporite sedimentary  ~ 0.0481|anhydrite evaporite sedimentary  ~ 0.0481|chert chemical sedimentary  ~ 0.0156|clay siliciclastic sedimentary  ~ 0.0625,marine  marine  ~ 0.4667|marginal marine  marine  ~ 0.2667|eolian indet. eolian non-marine  ~ 0.0667|interdune eolian non-marine  ~ 0.0667|non-marine  non-marine  ~ 0.1333,,8,3
444,Illinois Basin-western Kentucky - North of Rough Creek Fault,MBA,6,19,9361.4,1,1,1558,1326,286,358.9,302.5,Kinderhookian,Virgilian,94,shale siliciclastic sedimentary  ~ 0.2873|sandstone siliciclastic sedimentary  ~ 0.1774|limestone carbonate sedimentary  ~ 0.3962|dolomite carbonate sedimentary  ~ 0.0301|evaporite evaporite sedimentary  ~ 0.0027|coal organic sedimentary  ~ 0.1028|clay siliciclastic sedimentary  ~ 0.0035,marine  marine  ~ 0.0426|marginal marine  marine  ~ 0.0213|non-marine  non-marine  ~ 0.0851|inferred marine  marine  ~ 0.8511,oil reservoir hydrocarbon energy  ~ 0.4474|gas reservoir hydrocarbon energy  ~ 0.3158|gas indet. hydrocarbon energy  ~ 0.0263|oil indet. hydrocarbon energy  ~ 0.0263|coal coal energy  ~ 0.1316|aggregate construction material  ~ 0.0263|brick construction material  ~ 0.0263,47,3
344,Cavalier County Northeast Edge,NRW,13,21,30734.2,1,1,37,37,0,357.05,353.35,Kinderhookian,Kinderhookian,0,carbonate carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,1,1
1535,Graham Island,Sheet 2: Canadian Arctic,42,35,22096.7,1,11,480,480,480,307.5,302.5,Desmoinesian,Virgilian,0,siltstone siliciclastic sedimentary  ~ 0.7143|sandstone siliciclastic sedimentary  ~ 0.1429|limestone carbonate sedimentary  ~ 0.1429,inferred marine  marine  ~ 1,,1,1
164,Kerr Basin,TOT,20,12,22139.6,1,1,1040,1040,0,345.5,307.5,Osagean,Desmoinesian,1,shale siliciclastic sedimentary  ~ 0.5|limestone carbonate sedimentary  ~ 0.5,marine  marine  ~ 1,,2,2
393,Seward Peninsula,NAL,8,23,132273.5,1,1,0,0,0,439.825,320.05,Alexandrian,Morrowan,0,shale siliciclastic sedimentary  ~ 0.1515|limestone carbonate sedimentary  ~ 0.4848|dolomite carbonate sedimentary  ~ 0.3333|chert chemical sedimentary  ~ 0.0303,inferred marine  marine  ~ 1,,3,3
1427,Yucatan Platform,Mexico,35,1,136426.1,1,9,0,2200,2200,454.2,287.2175,Ordovician,Permian,0,shale siliciclastic sedimentary  ~ 0.1667|sandstone siliciclastic sedimentary  ~ 0.1667|volcanic volcanic igneous  ~ 0.3333|schist metamorphic metamorphic  ~ 0.3333,inferred marine  marine  ~ 1,,3,2
1484,Big Salmon Range,Sheet 3: Canadian Cordillera,40,66,21179.9,1,10,1875,1875,0,618.25,213.375,Hadrynian,Norian,0,volcanic volcanic igneous  ~ 0.0714|mylonite metamorphic metamorphic  ~ 0.4026|amphibolite metamorphic metamorphic  ~ 0.2273|serpentinite metamorphic metamorphic  ~ 0.2273|marble metasedimentary metamorphic  ~ 0.0714,,,2,2
618,Humber Arm,II,22,47,5265.5,1,2,0,2500,2500,337.8333,306,Meramecian,Desmoinesian,0,shale siliciclastic sedimentary  ~ 0.1805|sandstone siliciclastic sedimentary  ~ 0.1805|conglomerate siliciclastic sedimentary  ~ 0.1805|limestone carbonate sedimentary  ~ 0.2778|gypsum evaporite sedimentary  ~ 0.0556|coal organic sedimentary  ~ 0.125,non-marine  non-marine  ~ 0.5|inferred marine  marine  ~ 0.5,,2,2
384,South - Central New Hampshire,NE,11,17,9494.6,1,1,2000,2000,0,326.15,317.25,Chesterian,Atokan,0,granite plutonic igneous  ~ 1,,,1,1
28,"Western Anticline Belt (southern half), Virginia",SAP,17,24,3176.1,1,1,2051,1617,962,360.425,321.8,Conewangan,Morrowan,3,mudstone siliciclastic sedimentary  ~ 0.0062|shale siliciclastic sedimentary  ~ 0.4352|siltstone siliciclastic sedimentary  ~ 0.0309|sandstone siliciclastic sedimentary  ~ 0.3426|conglomerate siliciclastic sedimentary  ~ 0.0123|limestone carbonate sedimentary  ~ 0.1667|chert chemical sedimentary  ~ 0.0062,marine  marine  ~ 0.1481|fluvial-deltaic indet. fluvial non-marine  ~ 0.037|inferred marine  marine  ~ 0.8148,coal coal energy  ~ 1,27,1
504,Rocks Springs Uplift,CSR,3,13,21625.1,1,1,1017,712,190,358.9,298.9,Kinderhookian,Virgilian,0,shale siliciclastic sedimentary  ~ 0.1012|sandstone siliciclastic sedimentary  ~ 0.5298|limestone carbonate sedimentary  ~ 0.3393|dolomite carbonate sedimentary  ~ 0.0119|anhydrite evaporite sedimentary  ~ 0.0179,shallow subtidal carbonate marine  ~ 0.0625|reef carbonate marine  ~ 0.0625|foreshore siliciclastic marine  ~ 0.0625|shoreface siliciclastic marine  ~ 0.0625|barrier bar siliciclastic marine  ~ 0.0625|marine  marine  ~ 0.125|marginal marine  marine  ~ 0.1875|eolian indet. eolian non-marine  ~ 0.125|dune eolian non-marine  ~ 0.0625|interdune eolian non-marine  ~ 0.0625|non-marine  non-marine  ~ 0.125,,7,2
1683,Eastern edge of Sao Marcos Mountain,Parana Basin,48,1,53448.5,8,29,490,440,440,315.2,298.9,Moscovian,Gzhelian,0,mudstone siliciclastic sedimentary  ~ 0.0625|siltstone siliciclastic sedimentary  ~ 0.0625|sandstone siliciclastic sedimentary  ~ 0.6697|conglomerate siliciclastic sedimentary  ~ 0.134|diamictite siliciclastic sedimentary  ~ 0.0714,fluvial indet. fluvial non-marine  ~ 0.3333|glacial indet. glacial non-marine  ~ 0.6667,,2,1
170,"Black Warrior Basin Oktibbeha County, Mississippi",TOT,20,18,19925.6,1,1,3600,2525,2245,419.2,313.75,Gedinnian,Atokan,1,shale siliciclastic sedimentary  ~ 0.4028|sandstone siliciclastic sedimentary  ~ 0.0806|conglomerate siliciclastic sedimentary  ~ 0.0222|limestone carbonate sedimentary  ~ 0.35|coal organic sedimentary  ~ 0.0444|chert chemical sedimentary  ~ 0.1,marine  marine  ~ 0.6|inferred marine  marine  ~ 0.4,gas indet. hydrocarbon energy  ~ 0.3333|oil indet. hydrocarbon energy  ~ 0.5556|coal coal energy  ~ 0.1111,5,1
512,Black Hills,CSR,3,6,35643.1,1,1,536,196,196,358.9,286.225,Kinderhookian,Wolfcampian,1,shale siliciclastic sedimentary  ~ 0.0417|sandstone siliciclastic sedimentary  ~ 0.25|limestone carbonate sedimentary  ~ 0.3333|dolomite carbonate sedimentary  ~ 0.375,reef carbonate marine  ~ 0.2857|marine  marine  ~ 0.4286|eolian indet. eolian non-marine  ~ 0.1429|non-marine  non-marine  ~ 0.1429,oil reservoir hydrocarbon energy  ~ 0.5|aquifer aquifer water  ~ 0.5,3,2
441,Michigan Basin-finlay Arch - Northwestern Ohio,MBA,6,16,13055.9,1,1,113,113,0,360.425,351.5,Conewangan,Kinderhookian,0,shale siliciclastic sedimentary  ~ 0.6786|siltstone siliciclastic sedimentary  ~ 0.2083|sandstone siliciclastic sedimentary  ~ 0.0774|carbonate carbonate sedimentary  ~ 0.0357,inferred marine  marine  ~ 1,,4,1
316,Yukon-Koyukuk Basin,SAL,16,1,91526.1,1,1,0,0,0,345.5,208.5,Osagean,Norian,0,limestone carbonate sedimentary  ~ 0.0833|chert chemical sedimentary  ~ 0.0833|gabbro plutonic igneous  ~ 0.4167|basalt volcanic igneous  ~ 0.4167,marine  marine  ~ 1,,1,1
1623,"Peace River Arch/Embayment, Pine Pass",Sheet 2: Prairie Provinces and British Columbia,45,38,12565.2,1,12,260,260,260,373.95,334.85,Frasnian,Visean,0,shale siliciclastic sedimentary  ~ 0.5|limestone carbonate sedimentary  ~ 0.4167|chert chemical sedimentary  ~ 0.0833,inferred marine  marine  ~ 1,,2,1
428,Southern Peninsula - N. Michigan,MBA,6,3,27521.1,1,1,389,382,2,365,351.5,Conewangan,Kinderhookian,0,siliciclastic siliciclastic sedimentary  ~ 0.1952|shale siliciclastic sedimentary  ~ 0.6571|sandstone siliciclastic sedimentary  ~ 0.0333|mixed carbonate-siliciclastic carbonate sedimentary  ~ 0.0714|carbonate carbonate sedimentary  ~ 0.0143|limestone carbonate sedimentary  ~ 0.0286,inferred marine  marine  ~ 1,gas indet. hydrocarbon energy  ~ 1,5,1
9,"Eastern Valley & Ridge, Southern Segment, Alabama",SAP,17,8,17954.9,1,1,3629,2874,1500,351.5,322.15,Osagean,Morrowan,17,mudstone siliciclastic sedimentary  ~ 0.0781|shale siliciclastic sedimentary  ~ 0.1924|siltstone siliciclastic sedimentary  ~ 0.025|sandstone siliciclastic sedimentary  ~ 0.1585|conglomerate siliciclastic sedimentary  ~ 0.025|limestone carbonate sedimentary  ~ 0.0774|coal organic sedimentary  ~ 0.05|chert chemical sedimentary  ~ 0.2262|clay siliciclastic sedimentary  ~ 0.1674,marine  marine  ~ 0.25|fluvial-deltaic indet. fluvial non-marine  ~ 0.25|inferred marine  marine  ~ 0.5,coal coal energy  ~ 1,4,1
1565,south of Phillips Inlet,Sheet 3: Canadian Arctic,43,65,5668.2,1,11,0,0,0,325.125,294.15,Serpukhovian,Sakmarian,0,shale siliciclastic sedimentary  ~ 0.0714|sandstone siliciclastic sedimentary  ~ 0.0714|conglomerate siliciclastic sedimentary  ~ 0.3572|limestone carbonate sedimentary  ~ 0.5,non-marine  non-marine  ~ 0.5|inferred marine  marine  ~ 0.5,,2,1
400,Shaw Creek Fault to Yukon Border,NAL,8,30,30870.1,1,1,0,0,0,426.3,269.2,Ludlow,Guadalupian,0,gneiss metamorphic metamorphic  ~ 0.3333|phyllite metasedimentary metamorphic  ~ 0.2381|schist metamorphic metamorphic  ~ 0.2294|marble metasedimentary metamorphic  ~ 0.0476|greenschist metamorphic metamorphic  ~ 0.1515,,placer gold mineral precious commodity  ~ 1,3,1
274,Southern Wiseman Quadrangle,NAL,8,22,20479.6,1,1,952,952,0,363.475,263.31,Conewangan,Guadalupian,0,shale siliciclastic sedimentary  ~ 0.1136|siltstone siliciclastic sedimentary  ~ 0.0833|conglomerate siliciclastic sedimentary  ~ 0.1614|grainstone carbonate sedimentary  ~ 0.0227|limestone carbonate sedimentary  ~ 0.2083|chert chemical sedimentary  ~ 0.0573|gabbro plutonic igneous  ~ 0.0156|volcanic volcanic igneous  ~ 0.0781|basalt volcanic igneous  ~ 0.0156|quartzite metasedimentary metamorphic  ~ 0.197|marble metasedimentary metamorphic  ~ 0.0156|diabase plutonic igneous  ~ 0.0156|metasedimentary metasedimentary metamorphic  ~ 0.0156,marine  marine  ~ 1,,4,2
340,Billings County Central Basin,NRW,13,17,21014,1,1,945,945,0,360.425,303.7,Conewangan,Missourian,0,shale siliciclastic sedimentary  ~ 0.373|siltstone siliciclastic sedimentary  ~ 0.037|sandstone siliciclastic sedimentary  ~ 0.1349|limestone carbonate sedimentary  ~ 0.3627|dolomite carbonate sedimentary  ~ 0.0159|halite evaporite sedimentary  ~ 0.0101|gypsum evaporite sedimentary  ~ 0.0159|anhydrite evaporite sedimentary  ~ 0.0505,marine  marine  ~ 0.3333|inferred marine  marine  ~ 0.6667,oil indet. hydrocarbon energy  ~ 1,9,3
394,Porcupine River,NAL,8,24,23572.6,1,1,100,100,0,326.15,270.75,Chesterian,Guadalupian,0,shale siliciclastic sedimentary  ~ 0.8333|limestone carbonate sedimentary  ~ 0.1667,inferred marine  marine  ~ 1,,1,1
515,Bighorn Basin,CSR,3,3,26709.9,1,1,478,160,160,358.9,298.9,Kinderhookian,Virgilian,1,shale siliciclastic sedimentary  ~ 0.1237|siltstone siliciclastic sedimentary  ~ 0.0452|sandstone siliciclastic sedimentary  ~ 0.2974|breccia siliciclastic sedimentary  ~ 0.0256|limestone carbonate sedimentary  ~ 0.2818|dolomite carbonate sedimentary  ~ 0.2262,shallow subtidal carbonate marine  ~ 0.1667|reef carbonate marine  ~ 0.1667|platform/shelf-margin reef carbonate marine  ~ 0.1667|coastal indet. siliciclastic marine  ~ 0.1667|marine  marine  ~ 0.1667|eolian indet. eolian non-marine  ~ 0.1667,oil reservoir hydrocarbon energy  ~ 0.3333|oil indet. hydrocarbon energy  ~ 0.3333|aquifer aquifer water  ~ 0.3333,3,2
1486,McDame,Sheet 3: Canadian Cordillera,40,68,13123.2,1,10,2250,2250,2250,368.875,300.1,Famennian,Virgilian,0,shale siliciclastic sedimentary  ~ 0.0655|siltstone siliciclastic sedimentary  ~ 0.0447|conglomerate siliciclastic sedimentary  ~ 0.1399|breccia siliciclastic sedimentary  ~ 0.0151|limestone carbonate sedimentary  ~ 0.2986|chert chemical sedimentary  ~ 0.1597|basalt volcanic igneous  ~ 0.1799|tuff volcanic igneous  ~ 0.0757|argillite siliciclastic sedimentary  ~ 0.0208,inferred marine  marine  ~ 1,,6,1
500,Piceance Basin,CSR,3,18,28924.6,1,1,2115,1882,182,358.9,306,Kinderhookian,Desmoinesian,1,shale siliciclastic sedimentary  ~ 0.1945|sandstone siliciclastic sedimentary  ~ 0.4444|arkose siliciclastic sedimentary  ~ 0.1389|limestone carbonate sedimentary  ~ 0.1667|dolomite carbonate sedimentary  ~ 0.0278|evaporite evaporite sedimentary  ~ 0.0278,peritidal carbonate marine  ~ 0.1111|shallow subtidal carbonate marine  ~ 0.1111|marine  marine  ~ 0.5556|marginal marine  marine  ~ 0.1111|non-marine  non-marine  ~ 0.1111,,6,2
335,Central Montana Uplift,NRW,13,12,40611.5,1,1,945,625,265,357.05,306,Kinderhookian,Desmoinesian,56,shale siliciclastic sedimentary  ~ 0.418|sandstone siliciclastic sedimentary  ~ 0.1429|limestone carbonate sedimentary  ~ 0.3466|dolomite carbonate sedimentary  ~ 0.0926,marine  marine  ~ 0.4444|inferred marine  marine  ~ 0.5556,oil-prone source hydrocarbon energy  ~ 0.2|oil indet. hydrocarbon energy  ~ 0.6|oil shale hydrocarbon energy  ~ 0.1|aquifer aquifer water  ~ 0.1,9,1
1487,Kechika Ranges East of Kechika Fault,Sheet 3: Canadian Cordillera,40,69,26998.7,1,10,0,0,0,380.075,334.85,Frasnian,Visean,0,shale siliciclastic sedimentary  ~ 0.5411|siltstone siliciclastic sedimentary  ~ 0.0779|sandstone siliciclastic sedimentary  ~ 0.0476|limestone carbonate sedimentary  ~ 0.3333,inferred marine  marine  ~ 1,,3,2
109,"Vernon County, Missouri",MC,7,27,36884.6,1,1,284,248,9,353.9666,309,Kinderhookian,Desmoinesian,201,shale siliciclastic sedimentary  ~ 0.1626|sandstone siliciclastic sedimentary  ~ 0.0629|limestone carbonate sedimentary  ~ 0.6432|dolomite carbonate sedimentary  ~ 0.0833|coal organic sedimentary  ~ 0.0167|chert chemical sedimentary  ~ 0.0313,marine  marine  ~ 0.375|inferred marine  marine  ~ 0.625,oil indet. hydrocarbon energy  ~ 0.125|coal coal energy  ~ 0.375|cement construction material  ~ 0.25|aggregate construction material  ~ 0.25,16,2
1576,Feilden and Parry Peninsulas,Sheet 3: Canadian Arctic,43,76,6318.2,1,11,1460,1450,1450,334.85,287.4,Visean,Artinskian,1,siltstone siliciclastic sedimentary  ~ 0.0556|sandstone siliciclastic sedimentary  ~ 0.3333|conglomerate siliciclastic sedimentary  ~ 0.2778|limestone carbonate sedimentary  ~ 0.3333,open shallow subtidal carbonate marine  ~ 0.3333|inferred marine  marine  ~ 0.6667,,3,2
1499,Waterton Pincher CK,Sheet 3: Canadian Cordillera,40,90,3428.4,1,10,460,460,460,362.225,334.85,Famennian,Visean,0,siltstone siliciclastic sedimentary  ~ 0.25|limestone carbonate sedimentary  ~ 0.5|dolomite carbonate sedimentary  ~ 0.25,inferred marine  marine  ~ 1,,4,2
