col_id,col_name,col_group,col_group_id,group_col_id,col_area,project_id,refs,max_thick,max_min_thick,min_min_thick,b_age,t_age,b_int_name,t_int_name,pbdb_collections,lith,environ,econ,t_units,t_sections
53,Black Range,SSMC,19,7,12272.1,1,1,74,74,0,458.4,428.9,Blackriverian,Wenlock,0,sandstone siliciclastic sedimentary  ~ 0.0416|limestone carbonate sedimentary  ~ 0.5|dolomite carbonate sedimentary  ~ 0.4167|chert chemical sedimentary  ~ 0.0416,marine  marine  ~ 0.5|inferred marine  marine  ~ 0.5,silver mineral precious commodity  ~ 0.5|gold mineral precious commodity  ~ 0.5,2,1
1506,"Prince of Wales Island, east",Sheet 1: Canadian Arctic,41,6,41079.7,1,11,1300,1300,1300,443.8,419.2,Rhuddanian,Pridoli,0,siltstone siliciclastic sedimentary  ~ 0.0278|sandstone siliciclastic sedimentary  ~ 0.1389|conglomerate siliciclastic sedimentary  ~ 0.0278|limestone carbonate sedimentary  ~ 0.2778|dolomite carbonate sedimentary  ~ 0.5278,marine  marine  ~ 0.25|inferred marine  marine  ~ 0.75,,4,2
304,Northwest Pennsylvania,NAP,9,21,20218.5,1,1,320,320,0,443.8,419.2,Rhuddanian,Cayugan,2,shale siliciclastic sedimentary  ~ 0.2526|siltstone siliciclastic sedimentary  ~ 0.0306|sandstone siliciclastic sedimentary  ~ 0.2219|limestone carbonate sedimentary  ~ 0.0816|dolomite carbonate sedimentary  ~ 0.4031|halite evaporite sedimentary  ~ 0.0102,eolian indet. eolian non-marine  ~ 0.0714|inferred marine  marine  ~ 0.9286,,14,1
577,Northern Hudson Bay,II,22,1,151558.4,1,2,359,359,0,437.225,423.748,Telychian,Ludlow,0,limestone carbonate sedimentary  ~ 0.6667|dolomite carbonate sedimentary  ~ 0.3333,reef carbonate marine  ~ 0.3333|inferred marine  marine  ~ 0.6667,,3,2
1721,Column C,Parnaiba Basin,56,3,120508.5,8,38,915,915,0,453,404.025,Katian,Emsian,0,claystone siliciclastic sedimentary  ~ 0.0476|mudstone siliciclastic sedimentary  ~ 0.2381|shale siliciclastic sedimentary  ~ 0.0476|sandstone siliciclastic sedimentary  ~ 0.5714|conglomerate siliciclastic sedimentary  ~ 0.0476|diamictite siliciclastic sedimentary  ~ 0.0476,offshore indet. carbonate marine  ~ 0.1667|marine  marine  ~ 0.1667|fluvial indet. fluvial non-marine  ~ 0.3333|fluvial braided fluvial non-marine  ~ 0.1667|glacial indet. glacial non-marine  ~ 0.1667,,3,1
1595,Allegheny Basin,"Sheet 3: so. Prairie Prov., Hudson/St.Lawrence Platform",46,76,27031,1,12,262,262,262,443.8,417.1,Llandovery,Gedinnian,0,shale siliciclastic sedimentary  ~ 0.1797|sandstone siliciclastic sedimentary  ~ 0.0909|dolomite carbonate sedimentary  ~ 0.6645|halite evaporite sedimentary  ~ 0.0649,marine  marine  ~ 1,,11,3
435,Illinois Basin - Eastern Illinois,MBA,6,10,26388.1,1,1,568,285,140,443.05,410.8,Rhuddanian,Gedinnian,0,shale siliciclastic sedimentary  ~ 0.0238|siltstone siliciclastic sedimentary  ~ 0.013|limestone carbonate sedimentary  ~ 0.5476|dolomite carbonate sedimentary  ~ 0.4156,marine  marine  ~ 0.2857|inferred marine  marine  ~ 0.7143,oil indet. hydrocarbon energy  ~ 1,7,2
459,"Inyo and White Mountains, California",GB,4,5,25530.2,1,1,700,700,0,440.8,404.025,Aeronian,Emsian,0,shale siliciclastic sedimentary  ~ 0.0833|siltstone siliciclastic sedimentary  ~ 0.4167|limestone carbonate sedimentary  ~ 0.5,marine  marine  ~ 0.5|inferred marine  marine  ~ 0.5,,2,1
1703,Column A,Arauco Basin,52,1,26951.9,8,32,0,0,0,4000,145,Precambrian,Jurassic,0,igneous igneous igneous  ~ 1,,,1,1
463,"Eureka Area, Nevada",GB,4,9,34258.2,1,1,1310,1100,460,443.8,410.8,Rhuddanian,Gedinnian,199,limestone carbonate sedimentary  ~ 0.4167|dolomite carbonate sedimentary  ~ 0.4722|chert chemical sedimentary  ~ 0.0278|argillite siliciclastic sedimentary  ~ 0.0833,marine  marine  ~ 1,,3,3
166,Oklahoma Portion of Ouachita Tectonic Belt,TOT,20,14,18743.8,1,1,498,310,45,443.8,343.5,Rhuddanian,Osagean,1,shale siliciclastic sedimentary  ~ 0.4688|sandstone siliciclastic sedimentary  ~ 0.2396|conglomerate siliciclastic sedimentary  ~ 0.0417|limestone carbonate sedimentary  ~ 0.0417|chert chemical sedimentary  ~ 0.2083,marine  marine  ~ 0.25|inferred marine  marine  ~ 0.75,oil/gas indet. hydrocarbon energy  ~ 1,4,1
777,Rice Lake-Lac Du Bonnet,I,21,30,60333.5,1,2,0,0,0,445.1,423,Ashgill,Ludlow,10,carbonate carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,2,1
313,Eastern New York,NAP,9,30,10771.7,1,1,447,444,14,437.225,419.2,Telychian,Cayugan,2,shale siliciclastic sedimentary  ~ 0.4178|siltstone siliciclastic sedimentary  ~ 0.0306|sandstone siliciclastic sedimentary  ~ 0.1458|limestone carbonate sedimentary  ~ 0.0083|dolomite carbonate sedimentary  ~ 0.2616|evaporite evaporite sedimentary  ~ 0.0139|halite evaporite sedimentary  ~ 0.0313|gypsum evaporite sedimentary  ~ 0.0179|anhydrite evaporite sedimentary  ~ 0.0313|quartzite metasedimentary metamorphic  ~ 0.0417,inferred marine  marine  ~ 1,,8,2
100,"Pottawotomie County, Kansas",MC,7,18,15662.2,1,1,15,15,0,440.8,433.4,Aeronian,Telychian,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,1,1
1509,"Baffin Island, north",Sheet 1: Canadian Arctic,41,9,125987.6,1,11,540,460,460,441.55,431.9,Rhuddanian,Wenlock,0,breccia siliciclastic sedimentary  ~ 0.0606|limestone carbonate sedimentary  ~ 0.6363|dolomite carbonate sedimentary  ~ 0.303,inferred marine  marine  ~ 1,,3,2
39,"Basin Center, West Virginia",NAP,9,2,8321.4,1,1,1229,980,457,443.8,419.2,Rhuddanian,Cayugan,0,shale siliciclastic sedimentary  ~ 0.2713|siltstone siliciclastic sedimentary  ~ 0.0062|sandstone siliciclastic sedimentary  ~ 0.2755|limestone carbonate sedimentary  ~ 0.2035|dolomite carbonate sedimentary  ~ 0.2091|anhydrite evaporite sedimentary  ~ 0.0253|ironstone chemical sedimentary  ~ 0.0093,inferred marine  marine  ~ 1,gas indet. hydrocarbon energy  ~ 1,18,1
24,Southern Part Chautauqua Platform,TOT,20,2,18076.7,1,1,61,61,0,446.15,427.4,Richmondian,Wenlock,0,shale siliciclastic sedimentary  ~ 0.1667|limestone carbonate sedimentary  ~ 0.8333,marine  marine  ~ 1,oil/gas indet. hydrocarbon energy  ~ 1,1,1
1652,Anderson Plain,"Sheet 1: Northwest, Yukon Territories",44,7,51524.2,1,12,520,520,520,449.75,408.4,Maysvillian,Siegenian,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,2,2
472,"Needle and Northern Wah Wah Ranges, Utah",GB,4,18,6883.5,1,1,980,950,50,448.05,410,Richmondian,Siegenian,0,dolomite carbonate sedimentary  ~ 1,inferred marine  marine  ~ 1,,3,3
298,North-central Ohio,NAP,9,15,13088.2,1,1,480,279,34,443.8,420.15,Rhuddanian,Pridoli,0,shale siliciclastic sedimentary  ~ 0.0778|sandstone siliciclastic sedimentary  ~ 0.2159|limestone carbonate sedimentary  ~ 0.2016|dolomite carbonate sedimentary  ~ 0.5048,inferred marine  marine  ~ 1,,5,1
